param,selen,sewid,pelen,pewid,class
R1,5.1,3.5,1.4,0.2,Iris-setosa
R2,4.9,3,1.4,0.2,Iris-setosa
R3,4.7,3.2,1.3,0.2,Iris-setosa
R4,4.6,3.1,1.5,0.2,Iris-setosa
R5,5,3.6,1.4,0.2,Iris-setosa
R6,5.4,3.9,1.7,0.4,Iris-setosa
R7,4.6,3.4,1.4,0.3,Iris-setosa
R8,5,3.4,1.5,0.2,Iris-setosa
R9,4.4,2.9,1.4,0.2,Iris-setosa
R10,4.9,3.1,1.5,0.1,Iris-setosa
R11,5.4,3.7,1.5,0.2,Iris-setosa
R12,4.8,3.4,1.6,0.2,Iris-setosa
R13,4.8,3,1.4,0.1,Iris-setosa
R14,4.3,3,1.1,0.1,Iris-setosa
R15,5.8,4,1.2,0.2,Iris-setosa
R16,5.7,4.4,1.5,0.4,Iris-setosa
R17,5.4,3.9,1.3,0.4,Iris-setosa
R18,5.1,3.5,1.4,0.3,Iris-setosa
R19,5.7,3.8,1.7,0.3,Iris-setosa
R20,5.1,3.8,1.5,0.3,Iris-setosa
R21,5.4,3.4,1.7,0.2,Iris-setosa
R22,5.1,3.7,1.5,0.4,Iris-setosa
R23,4.6,3.6,1,0.2,Iris-setosa
R24,5.1,3.3,1.7,0.5,Iris-setosa
R25,4.8,3.4,1.9,0.2,Iris-setosa
R26,5,3,1.6,0.2,Iris-setosa
R27,5,3.4,1.6,0.4,Iris-setosa
R28,5.2,3.5,1.5,0.2,Iris-setosa
R29,5.2,3.4,1.4,0.2,Iris-setosa
R30,4.7,3.2,1.6,0.2,Iris-setosa
R31,4.8,3.1,1.6,0.2,Iris-setosa
R32,5.4,3.4,1.5,0.4,Iris-setosa
R33,5.2,4.1,1.5,0.1,Iris-setosa
R34,5.5,4.2,1.4,0.2,Iris-setosa
R35,4.9,3.1,1.5,0.1,Iris-setosa
R36,5,3.2,1.2,0.2,Iris-setosa
R37,5.5,3.5,1.3,0.2,Iris-setosa
R38,4.9,3.1,1.5,0.1,Iris-setosa
R39,4.4,3,1.3,0.2,Iris-setosa
R40,5.1,3.4,1.5,0.2,Iris-setosa
R41,5,3.5,1.3,0.3,Iris-setosa
R42,4.5,2.3,1.3,0.3,Iris-setosa
R43,4.4,3.2,1.3,0.2,Iris-setosa
R44,5,3.5,1.6,0.6,Iris-setosa
R45,5.1,3.8,1.9,0.4,Iris-setosa
R46,4.8,3,1.4,0.3,Iris-setosa
R47,5.1,3.8,1.6,0.2,Iris-setosa
R48,4.6,3.2,1.4,0.2,Iris-setosa
R49,5.3,3.7,1.5,0.2,Iris-setosa
R50,5,3.3,1.4,0.2,Iris-setosa
R51,7,3.2,4.7,1.4,Iris-versicolor
R52,6.4,3.2,4.5,1.5,Iris-versicolor
R53,6.9,3.1,4.9,1.5,Iris-versicolor
R54,5.5,2.3,4,1.3,Iris-versicolor
R55,6.5,2.8,4.6,1.5,Iris-versicolor
R56,5.7,2.8,4.5,1.3,Iris-versicolor
R57,6.3,3.3,4.7,1.6,Iris-versicolor
R58,4.9,2.4,3.3,1,Iris-versicolor
R59,6.6,2.9,4.6,1.3,Iris-versicolor
R60,5.2,2.7,3.9,1.4,Iris-versicolor
R61,5,2,3.5,1,Iris-versicolor
R62,5.9,3,4.2,1.5,Iris-versicolor
R63,6,2.2,4,1,Iris-versicolor
R64,6.1,2.9,4.7,1.4,Iris-versicolor
R65,5.6,2.9,3.6,1.3,Iris-versicolor
R66,6.7,3.1,4.4,1.4,Iris-versicolor
R67,5.6,3,4.5,1.5,Iris-versicolor
R68,5.8,2.7,4.1,1,Iris-versicolor
R69,6.2,2.2,4.5,1.5,Iris-versicolor
R70,5.6,2.5,3.9,1.1,Iris-versicolor
R71,5.9,3.2,4.8,1.8,Iris-versicolor
R72,6.1,2.8,4,1.3,Iris-versicolor
R73,6.3,2.5,4.9,1.5,Iris-versicolor
R74,6.1,2.8,4.7,1.2,Iris-versicolor
R75,6.4,2.9,4.3,1.3,Iris-versicolor
R76,6.6,3,4.4,1.4,Iris-versicolor
R77,6.8,2.8,4.8,1.4,Iris-versicolor
R78,6.7,3,5,1.7,Iris-versicolor
R79,6,2.9,4.5,1.5,Iris-versicolor
R80,5.7,2.6,3.5,1,Iris-versicolor
R81,5.5,2.4,3.8,1.1,Iris-versicolor
R82,5.5,2.4,3.7,1,Iris-versicolor
R83,5.8,2.7,3.9,1.2,Iris-versicolor
R84,6,2.7,5.1,1.6,Iris-versicolor
R85,5.4,3,4.5,1.5,Iris-versicolor
R86,6,3.4,4.5,1.6,Iris-versicolor
R87,6.7,3.1,4.7,1.5,Iris-versicolor
R88,6.3,2.3,4.4,1.3,Iris-versicolor
R89,5.6,3,4.1,1.3,Iris-versicolor
R90,5.5,2.5,4,1.3,Iris-versicolor
R91,5.5,2.6,4.4,1.2,Iris-versicolor
R92,6.1,3,4.6,1.4,Iris-versicolor
R93,5.8,2.6,4,1.2,Iris-versicolor
R94,5,2.3,3.3,1,Iris-versicolor
R95,5.6,2.7,4.2,1.3,Iris-versicolor
R96,5.7,3,4.2,1.2,Iris-versicolor
R97,5.7,2.9,4.2,1.3,Iris-versicolor
R98,6.2,2.9,4.3,1.3,Iris-versicolor
R99,5.1,2.5,3,1.1,Iris-versicolor
R100,5.7,2.8,4.1,1.3,Iris-versicolor
R101,6.3,3.3,6,2.5,Iris-virginica
R102,5.8,2.7,5.1,1.9,Iris-virginica
R103,7.1,3,5.9,2.1,Iris-virginica
R104,6.3,2.9,5.6,1.8,Iris-virginica
R105,6.5,3,5.8,2.2,Iris-virginica
R106,7.6,3,6.6,2.1,Iris-virginica
R107,4.9,2.5,4.5,1.7,Iris-virginica
R108,7.3,2.9,6.3,1.8,Iris-virginica
R109,6.7,2.5,5.8,1.8,Iris-virginica
R110,7.2,3.6,6.1,2.5,Iris-virginica
R111,6.5,3.2,5.1,2,Iris-virginica
R112,6.4,2.7,5.3,1.9,Iris-virginica
R113,6.8,3,5.5,2.1,Iris-virginica
R114,5.7,2.5,5,2,Iris-virginica
R115,5.8,2.8,5.1,2.4,Iris-virginica
R116,6.4,3.2,5.3,2.3,Iris-virginica
R117,6.5,3,5.5,1.8,Iris-virginica
R118,7.7,3.8,6.7,2.2,Iris-virginica
R119,7.7,2.6,6.9,2.3,Iris-virginica
R120,6,2.2,5,1.5,Iris-virginica
R121,6.9,3.2,5.7,2.3,Iris-virginica
R122,5.6,2.8,4.9,2,Iris-virginica
R123,7.7,2.8,6.7,2,Iris-virginica
R124,6.3,2.7,4.9,1.8,Iris-virginica
R125,6.7,3.3,5.7,2.1,Iris-virginica
R126,7.2,3.2,6,1.8,Iris-virginica
R127,6.2,2.8,4.8,1.8,Iris-virginica
R128,6.1,3,4.9,1.8,Iris-virginica
R129,6.4,2.8,5.6,2.1,Iris-virginica
R130,7.2,3,5.8,1.6,Iris-virginica
R131,7.4,2.8,6.1,1.9,Iris-virginica
R132,7.9,3.8,6.4,2,Iris-virginica
R133,6.4,2.8,5.6,2.2,Iris-virginica
R134,6.3,2.8,5.1,1.5,Iris-virginica
R135,6.1,2.6,5.6,1.4,Iris-virginica
R136,7.7,3,6.1,2.3,Iris-virginica
R137,6.3,3.4,5.6,2.4,Iris-virginica
R138,6.4,3.1,5.5,1.8,Iris-virginica
R139,6,3,4.8,1.8,Iris-virginica
R140,6.9,3.1,5.4,2.1,Iris-virginica
R141,6.7,3.1,5.6,2.4,Iris-virginica
R142,6.9,3.1,5.1,2.3,Iris-virginica
R143,5.8,2.7,5.1,1.9,Iris-virginica
R144,6.8,3.2,5.9,2.3,Iris-virginica
R145,6.7,3.3,5.7,2.5,Iris-virginica
R146,6.7,3,5.2,2.3,Iris-virginica
R147,6.3,2.5,5,1.9,Iris-virginica
R148,6.5,3,5.2,2,Iris-virginica
R149,6.2,3.4,5.4,2.3,Iris-virginica
R150,5.9,3,5.1,1.8,Iris-virginica
